cuenta_id,fecha,transaccion,monto,descripcion
109,29-08-2024,retiro,2500.0,Retiro parcial
116,14-02-2024,deposito,1000.0,Ingreso extra
109,04-12-2024,retiro,1000.0,Compra en tienda
105,01-07-2024,compra,1500.0,
120,24-03-2024,retiro,2000.0,Compra en tienda
102,19-04-2024,deposito,2000.0,
107,26-12-2024,deposito,2000.0,
112,05-07-2024,depósito,1000.0,Compra en tienda
112,18-07-2024,deposito,1000.0,Ingreso extra
108,19-07-2024,retiro,2000.0,Retiro parcial
114,20-05-2024,retiro,1000.0,Ingreso navideño
117,15-11-2024,deposito,0.0,Ingreso navideño
104,07-01-2024,compra,1000.0,Retiro parcial
117,11-07-2024,compra,2500.0,Ingreso extra
104,26-08-2024,retiro,2500.0,Compra en tienda
112,11-12-2024,retiro,3000.0,
103,11-10-2024,deposito,2500.0,
120,09-03-2024,retiro,3000.0,Compra en tienda
114,10-04-2024,depósito,-500.0,Ingreso navideño
102,20-10-2024,depósito,3000.0,Ingreso extra
110,03-11-2024,compra,-100.0,Ingreso extra
102,08-09-2024,depósito,2000.0,Compra en tienda
109,02-05-2024,deposito,3000.0,Ingreso mensual
102,02-03-2024,compra,1000.0,Ingreso extra
113,28-12-2024,deposito,2000.0,
116,24-12-2024,compra,2500.0,Compra en tienda
105,28-09-2024,compra,2500.0,
116,02-11-2024,depósito,2000.0,Ingreso mensual
115,13-03-2024,compra,1500.0,Ingreso extra
120,15-09-2024,retiro,-500.0,Compra en tienda
114,08-07-2024,compra,5000.0,Ingreso mensual
106,02-02-2024,compra,1500.0,Compra en tienda
108,01-10-2024,retiro,1000.0,Retiro parcial
101,09-01-2024,compra,1500.0,
119,15-08-2024,retiro,1500.0,Ingreso extra
116,28-05-2024,compra,3000.0,Compra en tienda
108,17-11-2024,retiro,-100.0,
114,30-05-2024,compra,2500.0,
103,05-10-2024,compra,1000.0,Retiro parcial
102,30-09-2024,depósito,2000.0,Ingreso navideño
113,11-12-2024,depósito,1500.0,Compra en tienda
104,13-08-2024,retiro,-500.0,Ingreso mensual
111,08-06-2024,retiro,3000.0,Ingreso extra
107,16-02-2024,compra,2500.0,Ingreso mensual
116,15-10-2024,compra,-100.0,Ingreso navideño
119,25-07-2024,retiro,-500.0,Ingreso mensual
119,19-09-2024,retiro,-500.0,Ingreso navideño
119,16-07-2024,deposito,2500.0,Ingreso navideño
103,11-08-2024,pago,1000.0,Compra en tienda
102,11-03-2024,deposito,-100.0,
114,03-11-2024,retiro,2000.0,
108,03-02-2024,retiro,2500.0,Ingreso mensual
103,19-12-2024,compra,5000.0,Retiro parcial
116,01-02-2024,retiro,3000.0,Ingreso navideño
108,13-03-2024,deposito,2000.0,Retiro parcial
109,20-06-2024,deposito,3000.0,
111,10-03-2024,retiro,-500.0,Retiro parcial
106,12-03-2024,compra,3000.0,Ingreso extra
101,22-03-2024,retiro,2000.0,Retiro parcial
106,25-03-2024,compra,2000.0,Ingreso extra
105,03-04-2024,retiro,1000.0,Retiro parcial
111,26-04-2024,retiro,2000.0,Ingreso navideño
119,23-09-2024,compra,2000.0,Retiro parcial
106,11-11-2024,deposito,-500.0,Ingreso extra
106,22-08-2024,compra,-500.0,Ingreso mensual
108,22-12-2024,deposito,1000.0,Ingreso extra
105,14-08-2024,retiro,1000.0,Ingreso navideño
115,24-10-2024,retiro,1000.0,
117,11-01-2024,deposito,-1000.0,Ingreso extra
118,03-03-2024,retiro,1500.0,Ingreso mensual
103,23-07-2024,compra,3000.0,Retiro parcial
106,01-07-2024,compra,3000.0,Ingreso mensual
102,01-10-2024,compra,-500.0,Compra en tienda
113,24-01-2024,compra,5000.0,Compra en tienda
109,21-01-2024,depósito,2000.0,Ingreso navideño
119,13-12-2024,retiro,1500.0,Ingreso extra
116,29-10-2024,compra,3000.0,Retiro parcial
109,20-11-2024,retiro,-1000.0,Retiro parcial
103,12-02-2024,compra,3000.0,Compra en tienda
106,25-06-2024,deposito,1000.0,Retiro parcial
120,03-02-2024,retiro,2500.0,
113,25-01-2024,deposito,-500.0,Ingreso navideño
115,24-06-2024,deposito,-500.0,Ingreso navideño
102,01-11-2024,compra,-100.0,Retiro parcial
109,15-10-2024,retiro,-500.0,Ingreso extra
108,08-07-2024,retiro,-100.0,Ingreso navideño
105,10-04-2024,retiro,-500.0,Retiro parcial
111,16-02-2024,retiro,2000.0,Ingreso mensual
103,09-05-2024,retiro,3000.0,Ingreso extra
110,08-08-2024,compra,-500.0,Ingreso extra
115,22-02-2024,deposito,1500.0,
114,30-09-2024,deposito,1000.0,Ingreso mensual
101,20-07-2024,retiro,2000.0,Compra en tienda
104,08-08-2024,compra,-100.0,Ingreso mensual
113,30-08-2024,retiro,2000.0,Ingreso extra
120,13-01-2024,deposito,1000.0,Retiro parcial
115,24-04-2024,deposito,2000.0,Ingreso mensual
102,20-07-2024,compra,1500.0,Ingreso mensual
106,27-09-2024,compra,-100.0,Ingreso mensual
113,29-02-2024,retiro,2500.0,Ingreso mensual
106,04-04-2024,compra,2500.0,Retiro parcial
108,16-04-2024,compra,3000.0,Compra en tienda
106,30-01-2024,retiro,-500.0,Compra en tienda
118,19-06-2024,deposito,3000.0,
109,27-11-2024,deposito,2000.0,
103,29-09-2024,compra,-100.0,
117,29-08-2024,retiro,1000.0,Ingreso mensual
113,09-06-2024,deposito,3000.0,Ingreso navideño
117,30-05-2024,deposito,1000.0,Ingreso navideño
116,13-05-2024,retiro,1000.0,Ingreso mensual
107,10-10-2024,deposito,2000.0,Ingreso mensual
110,24-03-2024,compra,-100.0,Ingreso extra
118,01-09-2024,retiro,-100.0,Ingreso navideño
107,24-01-2024,deposito,-500.0,Ingreso mensual
106,04-05-2024,compra,-500.0,Retiro parcial
112,01-04-2024,retiro,3000.0,Retiro parcial
112,02-09-2024,compra,1500.0,
107,29-03-2024,retiro,2000.0,Retiro parcial
105,13-12-2024,compra,3000.0,Ingreso mensual
112,29-04-2024,retiro,2500.0,Ingreso navideño
120,04-03-2024,compra,2500.0,
105,17-01-2024,compra,-500.0,Ingreso mensual
106,17-06-2024,deposito,2000.0,Ingreso navideño
102,18-05-2024,compra,1000.0,
101,23-11-2024,compra,1500.0,Compra en tienda
104,10-10-2024,retiro,2500.0,Ingreso navideño
116,22-11-2024,compra,2500.0,Compra en tienda
108,14-05-2024,deposito,3000.0,Ingreso extra
116,01-11-2024,deposito,-100.0,Compra en tienda
102,26-06-2024,retiro,-100.0,Ingreso navideño
107,05-05-2024,compra,3000.0,Ingreso mensual
111,19-07-2024,compra,-100.0,Compra en tienda
101,03-06-2024,deposito,2000.0,Compra en tienda
101,07-03-2024,deposito,3000.0,
115,12-08-2024,retiro,2000.0,Ingreso extra
118,19-08-2024,compra,1500.0,Ingreso mensual
107,30-11-2024,deposito,3000.0,Compra en tienda
111,06-10-2024,deposito,1500.0,Retiro parcial
101,28-06-2024,depósito,1500.0,Ingreso extra
112,07-08-2024,retiro,3000.0,
106,03-09-2024,compra,3000.0,
111,25-09-2024,depósito,2000.0,Ingreso navideño
112,24-08-2024,deposito,3000.0,Retiro parcial
112,06-09-2024,deposito,0.0,Compra en tienda
107,29-02-2024,deposito,-500.0,
101,25-09-2024,deposito,2500.0,Ingreso mensual
101,26-12-2024,deposito,-100.0,
118,03-10-2024,deposito,3000.0,Ingreso mensual
114,23-04-2024,retiro,2000.0,Compra en tienda
109,09-03-2024,deposito,3000.0,
118,12-05-2024,pago,-500.0,
116,08-06-2024,deposito,-500.0,
116,14-11-2024,deposito,3000.0,
104,01-11-2024,retiro,-500.0,Ingreso navideño
118,18-04-2024,deposito,3000.0,Retiro parcial
107,14-02-2024,compra,1500.0,Retiro parcial
111,28-03-2024,deposito,5000.0,Ingreso navideño
104,02-02-2024,retiro,-100.0,Ingreso mensual
110,07-03-2024,retiro,-100.0,Retiro parcial
118,11-10-2024,compra,3000.0,Ingreso mensual
119,29-09-2024,deposito,-100.0,Ingreso mensual
113,02-05-2024,retiro,-100.0,Retiro parcial
116,28-04-2024,deposito,1000.0,Ingreso navideño
116,12-10-2024,deposito,-100.0,Ingreso extra
110,30-05-2024,compra,2500.0,Ingreso mensual
109,09-11-2024,retiro,2000.0,Compra en tienda
113,11-01-2024,deposito,3000.0,Retiro parcial
112,20-03-2024,deposito,3000.0,Retiro parcial
118,07-04-2024,deposito,1000.0,Compra en tienda
109,31-10-2024,retiro,5000.0,
105,01-12-2024,deposito,2000.0,Ingreso mensual
114,26-07-2024,compra,2000.0,Ingreso navideño
118,19-01-2024,retiro,1000.0,
111,07-07-2024,deposito,2500.0,Retiro parcial
108,26-01-2024,retiro,3000.0,Ingreso mensual
106,19-10-2024,retiro,1500.0,
109,05-07-2024,retiro,-500.0,Compra en tienda
106,06-04-2024,retiro,2500.0,Compra en tienda
107,05-05-2024,deposito,2500.0,
114,29-10-2024,retiro,2500.0,Ingreso mensual
118,14-07-2024,deposito,3000.0,Ingreso navideño
117,04-09-2024,retiro,5000.0,
105,15-02-2024,deposito,1000.0,Ingreso extra
116,25-06-2024,retiro,2000.0,
111,30-07-2024,depósito,3000.0,Compra en tienda
106,18-03-2024,deposito,1500.0,Ingreso mensual
114,04-09-2024,compra,2500.0,Retiro parcial
110,15-11-2024,compra,-100.0,Retiro parcial
102,09-08-2024,compra,3000.0,Ingreso navideño
118,06-01-2024,compra,3000.0,Compra en tienda
116,17-01-2024,retiro,-100.0,Ingreso navideño
104,16-03-2024,compra,2000.0,Compra en tienda
110,15-02-2024,deposito,0.0,Compra en tienda
120,18-11-2024,retiro,2000.0,Ingreso extra
113,16-08-2024,compra,2000.0,Ingreso navideño
109,26-11-2024,retiro,2000.0,
101,04-02-2024,depósito,2500.0,Compra en tienda
108,21-06-2024,retiro,2500.0,
112,09-01-2024,compra,5000.0,Ingreso extra
106,25-07-2024,compra,1500.0,
118,19-05-2024,retiro,2000.0,
105,04-07-2024,deposito,1000.0,
112,23-07-2024,compra,3000.0,Retiro parcial
107,11-08-2024,retiro,-100.0,Ingreso extra
113,09-10-2024,compra,-500.0,Ingreso extra
101,01-08-2024,retiro,2000.0,Ingreso extra
120,18-08-2024,deposito,1500.0,Compra en tienda
105,06-02-2024,retiro,-100.0,Retiro parcial
104,30-07-2024,compra,3000.0,Retiro parcial
110,05-08-2024,deposito,1000.0,
107,17-10-2024,pago,2500.0,
115,31-10-2024,compra,1500.0,Ingreso mensual
102,16-10-2024,deposito,2500.0,Retiro parcial
111,09-04-2024,retiro,2500.0,Ingreso mensual
101,03-04-2024,pago,1500.0,Retiro parcial
103,07-05-2024,compra,2000.0,Retiro parcial
107,03-04-2024,retiro,-500.0,
104,29-08-2024,retiro,2500.0,Ingreso mensual
105,18-02-2024,retiro,3000.0,Retiro parcial
115,15-08-2024,compra,2000.0,Compra en tienda
114,21-02-2024,pago,-500.0,Ingreso extra
102,28-07-2024,retiro,1000.0,
107,28-09-2024,retiro,-500.0,Ingreso extra
104,31-01-2024,retiro,1500.0,Compra en tienda
108,17-11-2024,deposito,-100.0,Ingreso mensual
116,15-02-2024,deposito,3000.0,Ingreso extra
103,08-05-2024,compra,1000.0,Ingreso mensual
116,19-03-2024,compra,-500.0,Ingreso navideño
117,26-08-2024,depósito,3000.0,Ingreso mensual
102,13-03-2024,compra,-100.0,Ingreso extra
102,06-12-2024,deposito,2500.0,Retiro parcial
120,27-10-2024,retiro,3000.0,Ingreso extra
114,03-10-2024,compra,3000.0,Ingreso extra
101,07-03-2024,retiro,-100.0,
101,31-08-2024,deposito,3000.0,
102,11-10-2024,retiro,1500.0,Ingreso mensual
119,19-07-2024,compra,2000.0,Compra en tienda
118,09-12-2024,retiro,3000.0,
101,20-04-2024,compra,-100.0,Ingreso navideño
102,24-12-2024,pago,3000.0,Ingreso extra
120,21-03-2024,deposito,2500.0,Ingreso navideño
114,13-04-2024,compra,-100.0,Ingreso extra
119,27-07-2024,retiro,-500.0,Compra en tienda
115,13-10-2024,compra,2000.0,Compra en tienda
114,06-06-2024,retiro,2000.0,Ingreso extra
105,14-02-2024,retiro,-100.0,Ingreso navideño
101,16-02-2024,compra,-100.0,Retiro parcial
116,31-10-2024,retiro,3000.0,
110,06-06-2024,compra,-100.0,Compra en tienda
112,27-09-2024,deposito,2000.0,
107,16-12-2024,compra,3000.0,Compra en tienda
108,23-10-2024,retiro,2000.0,Compra en tienda
118,27-04-2024,retiro,2000.0,Ingreso mensual
119,16-02-2024,deposito,-500.0,Retiro parcial
116,12-06-2024,deposito,1500.0,Ingreso mensual
118,19-01-2024,retiro,5000.0,Ingreso extra
110,11-02-2024,compra,-100.0,Ingreso extra
112,22-11-2024,compra,2000.0,Ingreso navideño
101,08-04-2024,retiro,-100.0,
118,05-03-2024,retiro,0.0,Ingreso navideño
115,27-09-2024,deposito,2500.0,Ingreso navideño
118,01-08-2024,deposito,2500.0,
104,30-05-2024,retiro,2500.0,Compra en tienda
106,29-08-2024,pago,2000.0,
101,17-01-2024,pago,-100.0,
108,17-04-2024,compra,2000.0,Retiro parcial
105,03-03-2024,retiro,2500.0,Retiro parcial
117,05-09-2024,deposito,2000.0,Ingreso mensual
109,15-07-2024,compra,0.0,Compra en tienda
108,30-06-2024,compra,2500.0,
106,15-03-2024,compra,2500.0,Ingreso extra
107,09-11-2024,retiro,1000.0,Compra en tienda
118,22-05-2024,retiro,1000.0,Ingreso extra
119,11-06-2024,compra,-500.0,
109,22-01-2024,retiro,-100.0,
105,12-01-2024,retiro,1500.0,Ingreso extra
102,03-04-2024,retiro,3000.0,Ingreso mensual
119,06-08-2024,deposito,1000.0,Retiro parcial
105,01-04-2024,depósito,1000.0,Retiro parcial
104,26-05-2024,deposito,2500.0,Ingreso navideño
108,12-10-2024,pago,-100.0,Compra en tienda
116,09-02-2024,deposito,-100.0,
106,11-12-2024,deposito,-100.0,
108,31-10-2024,deposito,-500.0,Retiro parcial
112,16-10-2024,retiro,-100.0,Ingreso navideño
114,20-02-2024,depósito,3000.0,Compra en tienda
109,21-10-2024,deposito,2500.0,Ingreso navideño
103,03-10-2024,compra,1500.0,Ingreso navideño
115,12-07-2024,compra,1500.0,
106,22-02-2024,compra,1500.0,Ingreso extra
108,01-12-2024,retiro,1000.0,
113,27-04-2024,retiro,3000.0,
106,30-05-2024,depósito,2500.0,Ingreso navideño
110,02-03-2024,deposito,2000.0,Compra en tienda
120,06-08-2024,deposito,-500.0,Retiro parcial
106,23-03-2024,compra,2000.0,Compra en tienda
101,12-01-2024,compra,-500.0,
105,30-11-2024,deposito,-500.0,Ingreso navideño
115,19-06-2024,compra,2000.0,
101,19-02-2024,compra,2000.0,Retiro parcial
109,05-08-2024,compra,3000.0,Ingreso navideño
113,13-06-2024,deposito,-500.0,Ingreso mensual
102,23-11-2024,deposito,1000.0,
103,04-09-2024,deposito,-500.0,Ingreso navideño
109,12-02-2024,compra,-100.0,Retiro parcial
112,08-03-2024,retiro,2500.0,
115,26-07-2024,compra,-500.0,Retiro parcial
115,10-01-2024,compra,2500.0,
111,25-03-2024,retiro,2500.0,Ingreso extra
104,19-03-2024,retiro,-500.0,Ingreso extra
101,25-05-2024,deposito,-100.0,Ingreso mensual
104,01-10-2024,pago,-500.0,Retiro parcial
109,18-03-2024,compra,-500.0,Ingreso extra
110,25-11-2024,compra,2000.0,Ingreso mensual
114,22-01-2024,depósito,-500.0,Ingreso mensual
114,14-02-2024,retiro,3000.0,Ingreso mensual
118,12-09-2024,compra,-100.0,Retiro parcial
112,17-10-2024,retiro,-500.0,Retiro parcial
107,02-01-2024,retiro,2000.0,Ingreso extra
104,16-07-2024,compra,1000.0,
111,05-08-2024,retiro,-100.0,Compra en tienda
120,03-10-2024,deposito,2500.0,Compra en tienda
119,09-09-2024,deposito,2000.0,Ingreso navideño
108,05-01-2024,pago,-500.0,Retiro parcial
120,07-02-2024,retiro,-100.0,Ingreso mensual
120,21-12-2024,compra,-500.0,Compra en tienda
103,26-10-2024,compra,2000.0,Ingreso mensual
116,02-08-2024,compra,-500.0,Compra en tienda
109,17-02-2024,deposito,1000.0,Ingreso navideño
103,29-07-2024,compra,3000.0,Ingreso navideño
107,22-06-2024,retiro,3000.0,Ingreso navideño
101,02-09-2024,depósito,3000.0,Ingreso navideño
114,10-08-2024,deposito,-500.0,Retiro parcial
101,30-09-2024,deposito,-500.0,
107,09-04-2024,deposito,1000.0,Ingreso mensual
105,04-06-2024,pago,-500.0,Ingreso extra
115,14-09-2024,compra,-100.0,Ingreso mensual
115,22-12-2024,retiro,-100.0,Ingreso mensual
106,28-07-2024,deposito,2000.0,Ingreso mensual
106,15-09-2024,deposito,2000.0,
110,26-05-2024,retiro,3000.0,
108,22-09-2024,retiro,-500.0,Ingreso extra
119,24-03-2024,compra,1500.0,
105,23-09-2024,compra,1000.0,
111,04-12-2024,depósito,1000.0,Ingreso extra
109,03-04-2024,compra,1500.0,Ingreso extra
110,08-07-2024,retiro,2000.0,
114,19-02-2024,retiro,1000.0,Ingreso navideño
104,02-04-2024,retiro,-100.0,Ingreso mensual
106,07-12-2024,retiro,2500.0,Ingreso navideño
108,29-01-2024,retiro,3000.0,Ingreso navideño
101,17-01-2024,retiro,-100.0,Compra en tienda
103,24-09-2024,retiro,-500.0,Ingreso extra
116,25-05-2024,deposito,3000.0,Ingreso mensual
107,26-10-2024,retiro,3000.0,Ingreso mensual
114,13-02-2024,compra,2000.0,Ingreso extra
110,24-12-2024,retiro,3000.0,Retiro parcial
102,10-10-2024,retiro,-100.0,Ingreso navideño
116,09-08-2024,compra,-500.0,Ingreso extra
107,29-08-2024,depósito,-100.0,Retiro parcial
106,12-07-2024,deposito,-100.0,Retiro parcial
114,14-04-2024,depósito,2000.0,
111,29-10-2024,retiro,2500.0,
116,07-10-2024,compra,3000.0,Retiro parcial
114,26-03-2024,deposito,2000.0,Ingreso navideño
118,26-08-2024,compra,5000.0,Compra en tienda
117,11-03-2024,deposito,2500.0,Retiro parcial
103,02-09-2024,retiro,1500.0,Ingreso navideño
105,07-06-2024,deposito,2000.0,Ingreso mensual
101,07-01-2024,deposito,2500.0,Retiro parcial
112,21-06-2024,retiro,1500.0,
120,27-02-2024,retiro,5000.0,
108,12-03-2024,deposito,-500.0,Ingreso mensual
118,04-08-2024,compra,3000.0,
105,21-02-2024,compra,1000.0,Ingreso extra
119,25-07-2024,retiro,2500.0,Ingreso navideño
113,14-09-2024,deposito,2000.0,Ingreso mensual
106,27-08-2024,deposito,2500.0,
118,01-09-2024,compra,-100.0,Ingreso mensual
120,24-05-2024,retiro,-500.0,Compra en tienda
107,03-12-2024,compra,-500.0,
106,31-08-2024,compra,-100.0,Ingreso navideño
103,25-06-2024,deposito,1500.0,
104,07-11-2024,compra,1000.0,Ingreso navideño
112,12-06-2024,retiro,-500.0,Ingreso navideño
108,20-12-2024,retiro,2000.0,Retiro parcial
112,01-12-2024,compra,2000.0,Ingreso extra
115,17-06-2024,compra,1000.0,Ingreso navideño
119,23-12-2024,compra,-500.0,Ingreso navideño
105,22-04-2024,retiro,-500.0,
106,10-04-2024,deposito,-500.0,
107,18-02-2024,pago,2000.0,Compra en tienda
110,17-02-2024,compra,2500.0,Ingreso extra
112,17-07-2024,retiro,-100.0,Ingreso mensual
115,04-04-2024,deposito,-100.0,Ingreso extra
109,11-05-2024,retiro,3000.0,Compra en tienda
107,28-01-2024,retiro,1500.0,
118,27-10-2024,depósito,2500.0,Compra en tienda
114,22-12-2024,depósito,1500.0,Ingreso mensual
120,10-07-2024,compra,3000.0,
102,24-11-2024,retiro,-100.0,Retiro parcial
102,30-05-2024,retiro,3000.0,
105,09-12-2024,retiro,1500.0,Ingreso navideño
106,23-10-2024,compra,-500.0,Ingreso navideño
104,02-04-2024,deposito,1500.0,Retiro parcial
103,20-04-2024,depósito,2000.0,Retiro parcial
109,20-07-2024,deposito,1500.0,Ingreso navideño
106,31-08-2024,compra,2500.0,
109,21-01-2024,deposito,2000.0,
119,25-06-2024,compra,2500.0,Ingreso extra
109,11-11-2024,compra,3000.0,Ingreso mensual
111,08-08-2024,compra,3000.0,
114,01-10-2024,compra,2000.0,Ingreso extra
118,15-06-2024,retiro,3000.0,
105,18-04-2024,pago,3000.0,Retiro parcial
119,21-05-2024,retiro,1500.0,
108,27-01-2024,retiro,2000.0,Ingreso extra
105,21-04-2024,retiro,1500.0,Ingreso extra
114,10-12-2024,deposito,1500.0,
107,11-05-2024,retiro,3000.0,Compra en tienda
103,10-03-2024,compra,3000.0,
109,21-05-2024,retiro,3000.0,Ingreso extra
105,23-05-2024,compra,-100.0,Ingreso extra
120,17-12-2024,retiro,1500.0,
104,23-05-2024,compra,1500.0,Ingreso extra
101,24-11-2024,deposito,-100.0,
103,03-04-2024,compra,2500.0,Retiro parcial
120,28-12-2024,retiro,-500.0,Ingreso navideño
104,20-06-2024,compra,-500.0,Ingreso extra
119,22-05-2024,deposito,1000.0,Ingreso mensual
102,23-04-2024,compra,2000.0,Ingreso navideño
106,20-11-2024,pago,-100.0,Ingreso extra
116,12-09-2024,deposito,3000.0,Ingreso mensual
109,19-08-2024,retiro,-500.0,Compra en tienda
108,20-12-2024,depósito,2500.0,Ingreso mensual
101,30-06-2024,deposito,1500.0,Ingreso extra
116,06-10-2024,retiro,2500.0,Ingreso extra
101,16-07-2024,retiro,2500.0,Ingreso navideño
106,29-01-2024,compra,1000.0,Retiro parcial
116,22-09-2024,deposito,2000.0,Ingreso extra
104,18-01-2024,retiro,5000.0,Ingreso extra
109,12-11-2024,compra,-100.0,Ingreso navideño
107,08-08-2024,compra,-500.0,Retiro parcial
113,02-05-2024,compra,-100.0,Retiro parcial
103,15-03-2024,compra,5000.0,
105,04-12-2024,compra,1000.0,
118,08-12-2024,retiro,1000.0,Ingreso mensual
114,15-02-2024,deposito,3000.0,Ingreso mensual
110,13-12-2024,deposito,1000.0,Ingreso extra
105,27-01-2024,deposito,2000.0,Retiro parcial
105,16-08-2024,deposito,2500.0,Ingreso extra
104,19-09-2024,deposito,2500.0,Compra en tienda
102,23-05-2024,pago,-500.0,Ingreso mensual
107,30-12-2024,retiro,-500.0,
117,02-08-2024,deposito,-100.0,Compra en tienda
107,17-07-2024,retiro,2000.0,Ingreso mensual
105,07-08-2024,deposito,2500.0,
113,03-12-2024,retiro,2000.0,Ingreso navideño
113,29-10-2024,compra,2000.0,Compra en tienda
114,14-05-2024,retiro,3000.0,
108,19-11-2024,retiro,2000.0,Ingreso navideño
118,05-03-2024,compra,2000.0,Ingreso navideño
116,23-11-2024,compra,2000.0,Ingreso navideño
104,17-02-2024,depósito,1500.0,Retiro parcial
110,01-05-2024,retiro,2500.0,Compra en tienda
108,22-01-2024,depósito,-500.0,
118,18-02-2024,deposito,2500.0,
103,19-03-2024,compra,3000.0,Ingreso extra
111,10-05-2024,retiro,1500.0,Compra en tienda
114,21-02-2024,depósito,1000.0,Compra en tienda
117,17-11-2024,depósito,1500.0,Retiro parcial
110,22-06-2024,pago,2000.0,
103,15-07-2024,pago,3000.0,
109,07-02-2024,compra,2000.0,Compra en tienda
111,29-04-2024,deposito,5000.0,Ingreso mensual
105,28-11-2024,deposito,1500.0,Ingreso extra
105,26-10-2024,compra,-1000.0,Ingreso extra
102,03-08-2024,pago,1000.0,
112,25-11-2024,deposito,1500.0,Ingreso navideño
114,16-04-2024,deposito,2000.0,Compra en tienda
117,25-11-2024,retiro,3000.0,Ingreso navideño
103,09-05-2024,deposito,-500.0,Retiro parcial
108,03-09-2024,compra,1000.0,Retiro parcial
103,29-10-2024,compra,2500.0,
117,27-04-2024,compra,3000.0,Retiro parcial
112,30-08-2024,depósito,-500.0,Retiro parcial
112,06-11-2024,deposito,2000.0,Retiro parcial
111,03-03-2024,compra,2000.0,Compra en tienda
114,10-10-2024,compra,1500.0,
104,06-09-2024,retiro,-500.0,
110,11-08-2024,compra,-500.0,Compra en tienda
101,22-04-2024,compra,2500.0,Ingreso mensual
107,16-06-2024,retiro,2500.0,Ingreso mensual
116,06-12-2024,retiro,2000.0,Ingreso mensual
118,13-08-2024,deposito,-500.0,
118,07-02-2024,compra,3000.0,Ingreso extra
114,17-05-2024,compra,-100.0,Ingreso extra
110,27-11-2024,retiro,2000.0,Retiro parcial
107,12-12-2024,retiro,2000.0,Ingreso mensual
112,26-08-2024,retiro,1500.0,
103,22-04-2024,compra,-100.0,Compra en tienda
113,13-02-2024,pago,3000.0,Ingreso extra
114,07-05-2024,retiro,3000.0,Ingreso navideño
107,09-03-2024,deposito,-500.0,Ingreso mensual
118,23-10-2024,retiro,1500.0,Compra en tienda
102,16-04-2024,deposito,1500.0,Ingreso mensual
117,07-03-2024,retiro,3000.0,Ingreso mensual
113,30-09-2024,deposito,-500.0,Ingreso extra
106,28-10-2024,retiro,2500.0,Ingreso navideño
101,05-09-2024,deposito,2500.0,Ingreso extra
101,06-10-2024,deposito,1500.0,Ingreso mensual
106,26-11-2024,pago,1500.0,Retiro parcial
105,08-01-2024,compra,-100.0,Ingreso extra
117,01-03-2024,deposito,3000.0,Ingreso extra
116,19-04-2024,pago,1500.0,Ingreso navideño
116,03-01-2024,deposito,2500.0,Ingreso navideño
112,26-02-2024,deposito,3000.0,Ingreso mensual
117,08-12-2024,retiro,3000.0,Ingreso extra
107,28-08-2024,pago,-500.0,Retiro parcial
